objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
588848899934127132,756,44,3,756,1052,6,229.00658136,-0.12584235,21.155769,19.892185,19.31241,19.076944,18.973295,0.079423,0.014352,0.012501,0.014233,0.042957
588848899934127135,756,44,3,756,1055,3,229.00972273,-0.1259208,21.636181,20.476313,20.097866,19.919304,19.983236,0.130666,0.022543,0.023461,0.029625,0.11678
588848899934127137,756,44,3,756,1057,3,229.00446584,-0.12584805,21.31669,20.340061,19.946175,19.822674,19.68792,0.122813,0.024267,0.025369,0.034052,0.115064
588848899934127138,756,44,3,756,1058,6,229.00278437,-0.12714957,22.20569,20.941311,20.746201,20.452097,20.408329,0.183728,0.029115,0.035041,0.039791,0.142445
588848899934127139,756,44,3,756,1059,6,229.00686063,-0.127279,21.915031,20.919882,20.582563,20.517656,20.32316,0.152175,0.029826,0.032205,0.044628,0.142317
588848899934127140,756,44,3,756,1060,6,228.99733285,-0.12630557,22.410715,21.122267,20.76169,20.667332,20.920765,0.219003,0.032933,0.034992,0.047511,0.221176
588848899934127141,756,44,3,756,1061,6,229.0075551,-0.1262262,22.240362,21.169323,20.934231,20.638138,21.034967,0.191469,0.034469,0.041067,0.046518,0.243151
588848899934127142,756,44,3,756,1062,6,229.00113648,-0.12660654,22.013508,21.23959,20.946712,20.734228,20.738947,0.158136,0.036818,0.040789,0.050494,0.188835
588848899934127145,756,44,3,756,1065,3,228.99974879,-0.12651484,21.899784,21.061058,20.950502,20.594057,20.42528,0.165309,0.035454,0.047469,0.052399,0.174366
588848899934127146,756,44,3,756,1066,6,229.00178872,-0.12708747,22.993176,21.537983,21.392307,21.300499,21.368534,0.356023,0.045821,0.060299,0.081869,0.317827
588848899934127147,756,44,3,756,1067,3,229.00197898,-0.12625643,22.106239,21.213238,21.155882,20.945473,20.87471,0.229435,0.046499,0.067297,0.085324,0.308479
588848899934127149,756,44,3,756,1069,3,229.00754019,-0.12742124,24.034719,21.854979,20.887623,21.137085,21.602171,1.169147,0.093949,0.062052,0.120758,0.666835
588848899934127151,756,44,3,756,1071,6,229.00625683,-0.1279514,23.235174,22.219242,22.059744,21.871281,20.839602,0.418731,0.078526,0.105062,0.133379,0.206502
588848899934127152,756,44,3,756,1072,6,229.00306087,-0.1237979,23.048084,21.899532,21.640678,21.666563,20.668007,0.384166,0.062749,0.07581,0.118337,0.188366
588848899934127153,756,44,3,756,1073,6,229.0075628,-0.12524121,23.609859,22.514029,21.980337,21.618765,21.469042,0.621491,0.112712,0.109048,0.122063,0.3965
588848899934127154,756,44,3,756,1074,6,229.00107494,-0.1273849,23.677307,22.674093,22.282648,22.015322,21.275745,0.627433,0.11511,0.125732,0.151407,0.295345
588848899934127155,756,44,3,756,1075,6,229.00817868,-0.12449459,23.873749,22.535013,21.885252,21.799152,22.20344,0.668585,0.104475,0.091848,0.130418,0.572927
588848899934127158,756,44,3,756,1078,6,228.99320357,-0.12011636,24.766422,23.274414,21.627619,19.633266,18.386177,0.946714,0.222395,0.084401,0.024349,0.03179
588848899934127159,756,44,3,756,1079,3,228.99648042,-0.11738602,22.763838,21.016718,20.16379,19.670029,19.435846,0.358283,0.035649,0.026107,0.025863,0.077943
588848899934127160,756,44,3,756,1080,6,228.99666481,-0.1166936,22.054592,21.026234,20.674063,20.526108,20.550388,0.163256,0.031213,0.033323,0.042943,0.162221
588848899934127161,756,44,3,756,1081,3,228.99524098,-0.11820579,23.799484,21.385185,20.927187,21.020756,20.916096,0.917964,0.056043,0.057219,0.095988,0.33707
588848899934127163,756,44,3,756,1083,6,228.99374639,-0.11878444,23.500154,22.470978,21.902418,21.964071,22.063431,0.519581,0.098038,0.092013,0.148561,0.525778
588848899934127165,756,44,3,756,1085,6,228.99586201,-0.1191087,25.606659,22.545065,22.339792,21.924868,21.360428,0.557824,0.101987,0.131864,0.139963,0.332642
588848899934127166,756,44,3,756,1086,6,228.99678513,-0.09319399,21.571796,20.409536,20.111612,19.979761,19.891134,0.11771,0.021324,0.023685,0.029132,0.098914
588848899934127168,756,44,3,756,1088,6,228.99691945,-0.0971771,22.134958,20.262413,19.367235,19.092653,18.879744,0.176928,0.01838,0.013051,0.014521,0.040543
588848899934127169,756,44,3,756,1089,6,228.99914957,-0.09625614,21.718994,20.579948,20.200481,20.097343,19.923876,0.125203,0.022597,0.023004,0.030098,0.094386
588848899934127170,756,44,3,756,1090,6,228.99804816,-0.09614203,21.902384,21.190407,21.057266,20.985693,21.052036,0.145063,0.035062,0.044888,0.062348,0.245447
588848899934127174,756,44,3,756,1094,3,228.99816834,-0.12067618,21.816355,20.513912,20.163763,20.049267,19.894644,0.151564,0.023538,0.02487,0.033098,0.108025
588848899934127175,756,44,3,756,1095,6,228.99761108,-0.12149981,21.97049,21.263035,20.993353,20.799574,20.657103,0.153913,0.037374,0.042936,0.054242,0.180526
588848899934127176,756,44,3,756,1096,6,228.99797988,-0.11971883,23.881584,22.624846,22.348991,22.261784,21.920525,0.652423,0.109546,0.1327,0.187082,0.472855
588848899934127178,756,44,3,756,1098,6,228.9995954,-0.09121726,21.427608,20.467018,20.34671,20.301498,20.169403,0.100462,0.021173,0.025919,0.035852,0.118444
588848899934127179,756,44,3,756,1099,6,228.99995091,-0.09360034,21.647573,20.619246,20.374273,20.363922,20.323214,0.118359,0.023106,0.026113,0.037078,0.132246
588848899934127180,756,44,3,756,1100,6,228.9985312,-0.09116789,21.673344,20.881832,20.575413,20.471739,20.365349,0.121446,0.02799,0.030713,0.040696,0.137721
