MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Cl* NGC  188    FTS       5	*inCl	00 44 52.370	+85 14 05.67	10	10	107	-5.03	-0.67	13.59	12.29	11.592	10.098	9.461	9.304	K2III	 	 	 	27
Cl* NGC  188    FTS       1	*inCl	00 47 56.955	+85 14 55.99	10	10	102	-5.74	-0.93	13.07	11.93	11.307	9.966	9.398	9.26	G8IIIb	 	 	 	23
Cl* NGC  188    FTS       6	*inCl	00 46 59.571	+85 13 15.77	10	10	0	-5.49	-0.06	13.49	12.31	11.722	10.349	9.789	9.639	K0III-IV	 	 	 	21
Cl* NGC  188    FTS       7	*inCl	00 45 51.061	+85 18 08.28	10	10	0	-5.08	-1.06	13.79	12.48	11.706	10.208	9.549	9.429	 	 	 	 	20
Cl* NGC  188    FTS      29	*inCl	00 45 22.477	+85 12 38.28	10	10	75	-5.54	-0.57	14.79	13.84	13.355	12.167	11.676	11.551	 	 	 	 	19
Cl* NGC  188    FTS      20	*inCl	00 45 36.815	+85 15 08.57	10	10	0	-7.28	1.15	14.73	13.59	13.032	11.709	11.149	11.024	 	 	 	 	17
Cl* NGC  188    FTS      25	*inCl	00 46 33.623	+85 14 34.32	10	10	98	-5.98	-0.63	14.98	13.88	13.262	12.005	11.468	11.321	 	 	 	 	17
Cl* NGC  188     JA     812	*inCl	00 47 59.223	+85 11 32.25	106.2	100.9	0	-3.34	-2.17	13.426	12.126	11.411	 	 	 	K1III	 	 	 	17
BD+84    12	*inCl	00 42 43.41359	+85 14 14.1527	9.84498	9.2286	90	44.14	2.21	10.05	9.55	 	8.611	8.457	8.39	F5	 	 	 	16
Cl* NGC  188     JA    1090	*inCl	00 46 19.656	+85 20 08.66	10	10	100	-5.53	-0.27	13.67	12.46	11.786	10.385	9.816	9.674	 	 	 	 	16
Cl* NGC  188    FTS      11	*inCl	00 47 18.356	+85 19 45.73	10	10	72	-5.71	-0.95	14.21	12.99	12.329	10.908	10.289	10.187	 	 	 	 	16
Cl* NGC  188    FTS     130	*inCl	00 44 45.036	+85 13 30.27	10	10	84	-5.59	-0.33	15.76	15.09	14.68	13.821	13.513	13.435	 	 	 	 	15
Cl* NGC  188    FTS      35	*inCl	00 45 49.401	+85 14 03.80	10	10	0	-5.59	-0.47	15.2	14.1	13.575	12.283	11.786	11.698	 	 	 	 	15
Cl* NGC  188    FTS     133	*inCl	00 47 17.779	+85 15 12.47	10	10	85	-5.82	-0.55	15.68	14.99	14.686	13.865	13.553	13.533	 	 	 	 	15
Cl* NGC  188    FTS      86	*inCl	00 43 52.760	+85 18 35.19	10	10	84	-5.17	0.39	15.68	14.93	14.477	13.628	13.256	13.193	 	 	 	 	15
Cl* NGC  188    FTS     137	*inCl	00 47 19.484	+85 13 19.61	10	10	0	-5.24	-0.21	15.68	15	14.705	13.913	13.576	13.445	 	 	 	 	15
Cl* NGC  188    FTS      54	*inCl	00 47 44.863	+85 14 21.19	10	10	0	-5.75	-0.94	15.61	14.57	14.064	12.851	12.35	12.279	 	 	 	 	15
Cl* NGC  188    FTS     571	*inCl	00 44 12.250	+85 09 31.34	10	10	87	-6.55	-0.67	12.94	11.37	10.471	8.58	7.892	7.652	K4III	 	 	 	14
V* V768 Cep	*inCl	00 44 40.457	+85 15 21.31	10	10	0	-5.64	-0.64	15.743	14.975	14.519	13.545	13.172	13.116	 	 	 	 	14
Cl* NGC  188    FTS     101	*inCl	00 47 43.187	+85 12 27.56	10	10	0	-5.35	-0.38	15.67	14.94	14.507	13.625	13.273	13.217	 	 	 	 	14
Cl* NGC  188    FTS      40	*inCl	00 47 03.735	+85 15 27.63	10	10	0	-7.08	-0.08	15.16	14.28	13.745	12.663	12.195	12.11	 	 	 	 	14
Cl* NGC  188    FTS      98	*inCl	00 48 19.405	+85 18 41.07	10	10	63	-5.33	-0.52	15.75	14.94	14.509	13.528	13.198	13.085	 	 	 	 	14
Cl* NGC  188    FTS     102	*inCl	00 47 41.142	+85 13 45.68	10	10	73	-5.69	-0.84	15.55	14.84	14.528	13.662	13.297	13.248	 	 	 	 	14
Cl* NGC  188    FTS     112	*inCl	00 46 40.451	+85 14 40.33	10	10	0	-5.68	-0.14	15.62	14.94	14.602	13.74	13.47	13.385	 	 	 	 	13
Cl* NGC  188    FTS      89	*inCl	00 47 46.118	+85 12 52.20	10	10	0	-5.62	-0.57	15.95	14.98	14.452	13.333	12.864	12.781	 	 	 	 	13
Cl* NGC  188    FTS     141	*inCl	00 44 44.623	+85 18 54.06	10	10	0	-5.26	-0.09	15.79	15.148	14.755	13.966	13.613	13.576	 	 	 	 	13
Cl* NGC  188    FTS      81	*inCl	00 44 21.525	+85 18 19.43	10	10	72	-5.95	-0.42	15.655	14.998	14.601	 	 	 	 	 	 	 	13
Cl* NGC  188    FTS      43	*inCl	00 50 05.963	+85 14 47.86	10	10	0	-5.71	0.02	15.43	14.38	13.789	12.558	12.07	11.923	 	 	 	 	13
Cl* NGC  188    FTS      33	*inCl	00 47 32.099	+85 11 02.53	10	10	129	-5.34	-0.48	15.132	14.074	13.476	12.234	11.7	11.567	 	 	 	 	13
Cl* NGC  188    FTS     108	*inCl	00 48 36.931	+85 13 18.02	10	10	91	-5.81	-0.87	15.933	15.044	14.518	13.43	12.995	12.909	 	 	 	 	13
BD+84    11	*inCl	00 42 03.24646	+85 20 49.4397	10.1823	10.0146	93	-1.1	0.94	11.4	9.89	 	7.064	6.387	6.13	K5	 	 	 	12
Cl* NGC  188    FTS      58	*inCl	00 46 19.341	+85 19 38.37	10	10	0	-8.34	1.83	15.587	14.662	14.106	12.881	12.41	12.266	 	 	 	 	12
Cl* NGC  188    DGV    1451	*inCl	00 43 17.639	+85 17 25.13	10	10	0	-5.54	-0.71	15.677	14.908	14.462	13.555	13.155	13.061	 	 	 	 	12
Cl* NGC  188    FTS      39	*inCl	00 49 32.891	+85 15 16.64	10	10	0	-5.71	-0.39	15.271	14.272	13.712	12.538	12.084	11.976	 	 	 	 	12
Cl* NGC  188    FTS     211	*inCl	00 46 19.393	+85 15 23.65	10	10	60	-5.56	-0.78	16.37	15.65	15.285	14.437	14.068	14.047	 	 	 	 	12
Cl* NGC  188     JA    1582	*inCl	00 42 25.541	+85 16 22.04	10	10	0	-4.71	-0.2	14.096	12.939	12.298	10.921	10.332	10.22	 	 	 	 	11
Cl* NGC  188    FTS     107	*inCl	00 44 52.131	+85 10 25.12	10	10	0	-5.42	-0.88	16.055	15.09	14.521	13.334	12.89	12.784	 	 	 	 	11
Cl* NGC  188    FTS     116	*inCl	00 45 43.913	+85 18 37.25	10	10	100	-5.12	-1.16	15.72	15.03	14.636	13.737	13.467	13.41	G2V	 	 	 	11
Cl* NGC  188    FTS      31	*inCl	00 45 19.150	+85 15 29.11	10	10	0	-5.36	-0.86	14.41	13.86	13.556	12.909	12.685	12.601	 	 	 	 	10
Cl* NGC  188    FTS      62	*inCl	00 47 50.875	+85 13 29.09	10	10	92	-5.52	-0.57	15.23	14.53	14.205	13.355	13.034	12.963	 	 	 	 	10
Cl* NGC  188    FTS      30	*inCl	00 48 19.127	+85 13 27.91	10	10	32	 	 	14.379	14.129	13.948	 	 	 	 	 	 	 	10
Cl* NGC  188    FTS      21	*inCl	00 48 58.958	+85 12 29.60	10	10	0	-5.38	-0.73	14.746	13.634	13.014	11.69	11.203	11.078	 	 	 	 	10
Cl* NGC  188    FTS      34	*inCl	00 47 51.457	+85 15 09.09	10	10	102	-5.86	0.15	14.44	13.96	13.691	13.06	12.861	12.866	 	 	 	 	10
Cl* NGC  188    FTS      57	*inCl	00 47 13.321	+85 16 39.87	10	10	119	-5.66	-0.59	15.04	14.4	14.156	13.349	13.157	13.051	 	 	 	 	10
Cl* NGC  188    FTS     121	*inCl	00 46 22.987	+85 17 13.46	10	10	96	-5.29	-0.43	15.55	14.93	14.616	13.857	13.661	13.554	 	 	 	 	10
Cl* NGC  188    FTS     270	*inCl	00 48 22.292	+85 13 02.36	10	10	0	-5.87	-0.51	16.77	16.05	15.626	14.784	14.449	14.313	 	 	 	 	9
Cl* NGC  188    FTS      47	*inCl	00 51 36.856	+85 13 44.11	10	10	72	-5.33	-0.66	15.458	14.448	13.888	12.708	12.233	12.111	 	 	 	 	9
Cl* NGC  188    FTS      15	*inCl	00 51 21.624	+85 12 37.70	10	10	93	-5.27	-0.55	14.511	13.356	12.721	11.37	10.816	10.659	 	 	 	 	9
Cl* NGC  188    DGV     483	*inCl	00 42 20.590	+85 15 39.47	10	10	95	-5.24	-0.44	13.88	13.34	12.993	12.316	12.041	12.001	 	 	 	 	9
Cl* NGC  188    FTS      92	*inCl	00 45 55.565	+85 15 32.38	10	10	0	-5.52	-0.39	15.64	14.88	14.496	13.673	13.286	13.203	 	 	 	 	9
Cl* NGC  188    FTS     129	*inCl	00 44 59.283	+85 11 50.60	10	10	60	-5.46	-0.83	15.701	15.057	14.667	13.836	13.569	13.433	 	 	 	 	9
Cl* NGC  188    DGV     612	*inCl	00 43 09.942	+85 12 24.19	10	10	0	-5.17	-0.87	15.678	15.024	14.618	13.752	13.424	13.367	 	 	 	 	9
Cl* NGC  188    FTS      66	*inCl	00 48 54.451	+85 12 36.71	10	10	0	-5.62	-0.16	15.188	14.685	14.357	13.681	13.443	13.41	 	 	 	 	9
Cl* NGC  188    FTS      45	*inCl	00 48 18.389	+85 14 46.68	10	10	73	-4.99	-1.11	15.8	14.85	14.336	13.197	12.709	12.675	 	 	 	 	9
Cl* NGC  188    FTS      48	*inCl	00 48 14.079	+85 14 48.44	10	10	0	-6.93	0.02	15.43	14.79	14.536	13.67	13.293	13.255	 	 	 	 	9
Cl* NGC  188    FTS      88	*inCl	00 47 37.783	+85 15 13.79	10	10	90	-5.79	-0.41	15.63	14.81	14.45	13.495	13.161	13.111	 	 	 	 	9
Cl* NGC  188    FTS      60	*inCl	00 47 04.440	+85 16 33.49	10	10	64	-2.47	0.47	15.29	14.53	14.09	13.35	13.049	12.967	 	 	 	 	9
Cl* NGC  188    FTS     109	*inCl	00 45 35.177	+85 17 04.26	10	10	110	-4.92	-0.45	15.65	14.93	14.605	13.732	13.357	13.315	 	 	 	 	9
Cl* NGC  188    FTS      41	*inCl	00 45 56.634	+85 17 29.66	10	10	123	-5.25	-0.39	14.643	14.141	13.848	13.164	12.921	12.891	 	 	 	 	9
Cl* NGC  188    FTS     120	*inCl	00 49 36.858	+85 16 38.85	10	10	0	-5.43	-0.19	15.557	14.977	14.609	13.812	13.45	13.341	 	 	 	 	9
Cl* NGC  188    FTS     126	*inCl	00 46 03.224	+85 16 56.62	10	10	0	-5.27	-0.85	15.72	15	14.661	13.814	13.564	13.455	 	 	 	 	9
Cl* NGC  188    FTS      52	*inCl	00 46 37.669	+85 12 28.53	10	10	0	-5.46	-0.54	15.09	14.4	14.062	13.266	12.911	12.834	 	 	 	 	9
Cl* NGC  188    FTS     147	*inCl	00 47 23.891	+85 12 16.63	10	10	72	-5.36	-0	15.93	15.23	14.795	13.91	13.595	13.48	 	 	 	 	9
Cl* NGC  188    FTS      22	*inCl	00 49 03.258	+85 15 25.19	10	10	0	-5.88	-0.87	13.915	13.45	13.132	12.477	12.315	12.252	 	 	 	 	9
Cl* NGC  188    FTS     142	*inCl	00 49 05.400	+85 16 14.21	10	10	58	-5.54	-0.29	15.779	15.134	14.726	13.927	13.604	13.539	 	 	 	 	9
Cl* NGC  188    FTS      32	*inCl	00 45 18.270	+85 19 19.85	10	10	95	-4.64	-0.1	14.329	13.838	13.554	12.863	12.665	12.584	 	 	 	 	9
Cl* NGC  188    FTS      28	*inCl	00 44 29.325	+85 15 09.50	10	10	0	6.52	17.35	14.96	13.95	13.36	12.202	11.653	11.52	 	 	 	 	9
Cl* NGC  188    FTS       2	*inCl	00 46 19.328	+85 13 08.41	10	10	104	-19.38	-1.63	12.32	11.79	11.492	10.765	10.556	10.494	 	 	 	 	9
Cl* NGC  188    FTS     145	*inCl	00 46 36.385	+85 13 03.54	10	10	0	-5.51	-0.16	15.87	15.15	14.726	13.874	13.554	13.417	 	 	 	 	9
Cl* NGC  188    FTS      19	*inCl	00 44 17.999	+85 16 02.54	10	10	96	-17.8	7.07	14.13	13.47	13.023	12.18	11.829	11.798	 	 	 	 	9
HIP   4349	*inCl	00 55 45.38544	+85 12 20.9081	18.537	16.699	90	-1.1	-0.01	12.29	10.88	 	8.441	7.631	7.52	 	 	 	 	9
Cl* NGC  188    FTS      90	*inCl	00 44 23.651	+85 19 42.13	10	10	90	-5.41	1.5	15.3	14.831	14.552	13.822	13.636	13.525	 	 	 	 	9
Cl* NGC  188    FTS      16	*inCl	00 46 27.480	+85 10 26.28	10	10	42	-2.09	-0.79	13.913	13.265	12.861	12.021	11.71	11.621	 	 	 	 	9
Cl* NGC  188    DGV    1333	*inCl	00 45 53.778	+85 19 55.34	10	10	96	9.2	5.44	12.071	10.815	10.074	8.489	7.847	7.702	 	 	 	 	8
Cl* NGC  188    FTS     184	*inCl	00 52 02.298	+85 14 05.97	10	10	75	-4.82	-0.56	16.13	15.42	15.03	14.18	13.772	13.802	 	 	 	 	8
Cl* NGC  188    FTS      24	*inCl	00 52 25.784	+85 15 27.88	10	10	101	-4.7	-0.24	14.22	13.612	13.227	12.41	12.216	12.153	 	 	 	 	8
Cl* NGC  188    FTS     114	*inCl	00 52 15.866	+85 13 44.50	10	10	93	-5.14	0	15.676	14.978	14.561	13.722	13.429	13.324	 	 	 	 	8
Cl* NGC  188    FTS     110	*inCl	00 51 28.449	+85 13 52.10	10	10	0	-5.27	-0.05	15.659	14.964	14.525	13.668	13.365	13.303	 	 	 	 	8
Cl* NGC  188    FTS     222	*inCl	00 43 58.149	+85 14 55.08	10	10	0	-5.23	-0.93	16.6	15.87	15.425	 	 	 	 	 	 	 	8
Cl* NGC  188    FTS     170	*inCl	00 44 57.986	+85 16 40.52	10	10	115	-5.09	-0.42	16.03	15.38	14.981	14.146	13.841	13.805	 	 	 	 	8
Cl* NGC  188    FTS      68	*inCl	00 50 05.532	+85 09 54.20	10	10	128	-5.17	-0.3	15.406	14.736	14.32	13.496	13.205	13.163	 	 	 	 	8
Cl* NGC  188    FTS     123	*inCl	00 45 17.599	+85 09 47.99	10	10	98	-5.44	-0.6	15.749	15.059	14.653	13.778	13.429	13.39	 	 	 	 	8
Cl* NGC  188    DGV     632	*inCl	00 43 41.469	+85 13 17.28	10	10	107	-5.89	-0.87	15.124	14.676	14.36	13.73	13.576	13.431	 	 	 	 	8
Cl* NGC  188    FTS      59	*inCl	00 45 56.935	+85 12 23.31	10	10	105	-4.74	-0.57	15.513	14.846	14.43	13.57	13.292	13.164	 	 	 	 	8
Cl* NGC  188    FTS     125	*inCl	00 44 27.429	+85 14 11.11	10	10	0	-5.46	-0.37	15.747	15.066	14.649	13.783	13.471	13.332	 	 	 	 	8
Cl* NGC  188    FTS     177	*inCl	00 45 12.401	+85 14 13.31	10	10	0	-5.4	-0.09	16.03	15.35	15.044	14.224	13.88	13.925	 	 	 	 	8
Cl* NGC  188    FTS      79	*inCl	00 45 40.435	+85 14 02.38	10	10	94	-5.64	-0.62	15.59	14.81	14.446	13.542	13.156	13.154	 	 	 	 	8
Cl* NGC  188    FTS     149	*inCl	00 45 53.517	+85 14 31.44	10	10	0	-5.66	-0.79	15.84	15.17	14.835	14.03	13.757	13.694	 	 	 	 	8
Cl* NGC  188    FTS     185	*inCl	00 47 51.399	+85 13 42.00	10	10	98	-5.71	-0.39	16.08	15.39	15.081	14.233	13.839	13.809	 	 	 	 	8
Cl* NGC  188    FTS     221	*inCl	00 48 11.301	+85 13 51.36	10	10	95	-5.92	-0.51	16.44	15.69	15.301	14.348	14.019	13.838	 	 	 	 	8
Cl* NGC  188    FTS     103	*inCl	00 48 52.479	+85 12 08.53	10	10	99	-5.47	-0.58	15.633	14.943	14.534	13.701	13.387	13.245	 	 	 	 	8
Cl* NGC  188    FTS      23	*inCl	00 47 53.151	+85 15 02.01	10	10	0	-6.62	0.47	15.522	14.831	14.415	13.584	13.165	13.135	 	 	 	 	8
Cl* NGC  188    FTS     166	*inCl	00 46 28.813	+85 16 13.28	10	10	85	-5.6	-0.61	16.028	15.333	14.915	14.08	13.679	13.632	 	 	 	 	8
Cl* NGC  188    FTS     160	*inCl	00 46 43.098	+85 16 05.73	10	10	0	-5.72	-0.53	15.945	15.274	14.867	13.986	13.695	13.638	 	 	 	 	8
Cl* NGC  188    FTS     231	*inCl	00 47 00.620	+85 16 41.60	10	10	105	-6.1	-0.59	16.56	15.83	15.459	14.598	14.339	14.174	 	 	 	 	8
Cl* NGC  188    FTS     167	*inCl	00 47 43.822	+85 15 31.67	10	10	0	-5.85	-0.77	16.17	15.45	15.083	14.265	13.976	13.849	 	 	 	 	8
Cl* NGC  188    FTS      96	*inCl	00 48 30.720	+85 15 38.75	10	10	0	-5.59	-0.41	15.66	14.9	14.507	13.654	13.24	13.198	 	 	 	 	8
Cl* NGC  188    DGV     799	*inCl	00 41 15.745	+85 12 32.32	10	10	0	-5.11	-0.27	16.21	15.52	15.109	14.269	13.907	13.839	 	 	 	 	8
Cl* NGC  188    FTS      93	*inCl	00 52 25.329	+85 19 27.49	10	10	92	-5.86	-1.09	15.604	14.907	14.495	13.583	13.32	13.245	 	 	 	 	8
Cl* NGC  188    FTS     215	*inCl	00 46 35.137	+85 19 32.16	10	10	0	-5.44	-0.08	16.38	15.69	15.285	14.382	14.107	14.013	 	 	 	 	8
Cl* NGC  188    FTS     117	*inCl	00 48 16.389	+85 16 46.13	10	10	95	-5.91	0.22	15.975	15.282	14.863	13.951	13.592	13.426	 	 	 	 	8
Cl* NGC  188    FTS     158	*inCl	00 46 44.583	+85 16 56.84	10	10	81	-5.43	-0.64	15.96	15.23	14.871	13.983	13.742	13.567	 	 	 	 	8
Cl* NGC  188    FTS     119	*inCl	00 46 49.861	+85 17 06.48	10	10	88	-5.13	-0.83	16.03	15.06	14.553	13.384	12.934	12.842	 	 	 	 	8
Cl* NGC  188    FTS     100	*inCl	00 47 19.511	+85 17 35.92	10	10	91	-5.82	-0.28	15.641	14.948	14.544	13.684	13.36	13.214	 	 	 	 	8
Cl* NGC  188    DGV    1422	*inCl	00 45 51.331	+85 21 28.86	10	10	0	-5.01	0.05	15.736	15.081	14.701	13.9	13.597	13.497	 	 	 	 	8
Cl* NGC  188    FTS      64	*inCl	00 45 32.385	+85 17 38.18	10	10	96	-5.51	-0.86	15.617	14.918	14.506	13.66	13.317	13.235	 	 	 	 	8
Cl* NGC  188    FTS     156	*inCl	00 45 31.113	+85 17 17.44	10	10	0	-4.98	-0.27	15.938	15.277	14.865	14.015	13.718	13.634	 	 	 	 	8
Cl* NGC  188    FTS     169	*inCl	00 44 23.113	+85 17 20.93	10	10	107	-4.69	-0.48	16.028	15.377	14.995	14.178	13.857	13.754	 	 	 	 	8
Cl* NGC  188    FTS     163	*inCl	00 43 55.871	+85 18 07.43	10	10	0	-4.79	-0.33	15.999	15.323	14.918	14.128	13.772	13.68	 	 	 	 	8
Cl* NGC  188    FTS     128	*inCl	00 46 01.316	+85 18 17.81	10	10	135	-5.37	-0.35	15.728	15.061	14.668	13.796	13.499	13.405	 	 	 	 	8
Cl* NGC  188    FTS     176	*inCl	00 48 42.581	+85 11 36.07	10	10	91	-2.92	-0.1	16.11	15.41	15.11	14.16	13.858	13.732	 	 	 	 	8
Cl* NGC  188    FTS     118	*inCl	00 51 10.434	+85 14 28.94	10	10	0	-5.17	0.37	15.698	15.022	14.607	13.757	13.559	13.443	 	 	 	 	8
Cl* NGC  188    FTS     175	*inCl	00 50 37.142	+85 13 57.71	10	10	79	-5	0.04	15.991	15.385	14.992	14.232	14.047	13.925	 	 	 	 	8
Cl* NGC  188    FTS      87	*inCl	00 49 17.225	+85 17 06.62	10	10	0	-5.66	-0.38	15.584	14.898	14.473	13.63	13.264	13.247	 	 	 	 	8
Cl* NGC  188     JA    1581	*inCl	00 42 22.989	+85 20 33.71	10	10	100	-5.06	-0.41	14.963	13.927	13.329	12.072	11.526	11.496	 	 	 	 	8
Cl* NGC  188    DGV     796	*inCl	00 41 00.085	+85 11 32.93	137	131	0	-10.8	4.7	12.8	11.66	11.033	9.71	9.171	9.024	 	 	 	 	8
Cl* NGC  188    DGV    1282	*inCl	00 52 08.305	+85 19 57.29	10	10	0	-3.04	0.99	14.61	13.27	12.452	10.872	10.163	9.998	 	 	 	 	8
Cl* NGC  188    DGV    1343	*inCl	00 43 29.847	+85 19 50.86	10	10	0	-14.19	6.38	13.28	12.72	12.378	11.645	11.352	11.336	 	 	 	 	8
Cl* NGC  188    DGV    1530	*inCl	00 41 24.201	+85 18 47.99	10	10	60	4.66	2.58	15.66	14.97	14.559	13.668	13.288	13.231	 	 	 	 	8
Cl* NGC  188    DGV    1340	*inCl	00 43 17.898	+85 23 02.22	10	10	103	-5.12	-0.2	15.61	14.82	14.472	13.541	13.191	13.166	 	 	 	 	8
Cl* NGC  188    FTS      72	*inCl	00 45 35.854	+85 17 43.28	10	10	0	-4.67	-0.04	15.814	15.144	14.755	13.907	13.583	13.547	 	 	 	 	8
Cl* NGC  188    FTS      70	*inCl	00 44 12.625	+85 14 02.90	10	10	0	-2.7	3.57	15.363	14.758	14.361	13.532	13.207	13.137	 	 	 	 	8
Cl* NGC  188    FTS     278	*inCl	00 44 30.747	+85 12 45.09	10	10	81	-5.3	-0.76	16.95	16.23	15.699	14.73	14.384	14.118	 	 	 	 	8
Cl* NGC  188    FTS     161	*inCl	00 44 43.068	+85 11 37.19	10	10	0	-5.44	-0.48	16.05	15.31	14.913	14.016	13.776	13.646	 	 	 	 	8
Cl* NGC  188    FTS     159	*inCl	00 45 01.544	+85 09 01.68	10	10	0	-5.21	-0.86	15.97	15.28	14.882	14.021	13.743	13.681	 	 	 	 	8
Cl* NGC  188    FTS     295	*inCl	00 47 26.079	+85 16 55.60	10	10	84	-5.52	-0.63	17.02	16.24	15.861	14.999	14.619	14.415	 	 	 	 	8
Cl* NGC  188    FTS     132	*inCl	00 47 36.717	+85 16 34.43	10	10	95	-5.72	-0.82	15.914	15.132	14.68	13.706	13.331	13.28	 	 	 	 	8
Cl* NGC  188    FTS     150	*inCl	00 46 38.419	+85 16 20.91	10	10	91	-5.41	-0.74	15.942	15.251	14.839	13.965	13.67	13.586	 	 	 	 	8
Cl* NGC  188    FTS     249	*inCl	00 47 30.337	+85 15 15.08	10	10	100	-5.97	-0.92	16.75	15.91	15.548	14.453	14.117	14.025	 	 	 	 	8
Cl* NGC  188    FTS     188	*inCl	00 47 10.967	+85 14 58.10	10	10	94	-5.83	-0.79	16.07	15.35	15.096	14.279	13.933	13.902	 	 	 	 	8
Cl* NGC  188    FTS     248	*inCl	00 47 06.105	+85 14 30.94	10	10	110	-5.51	-0.74	16.56	15.8	15.474	14.58	14.208	14.134	 	 	 	 	8
Cl* NGC  188    FTS     183	*inCl	00 47 00.516	+85 13 50.37	10	10	0	-5.24	-0.21	16.08	15.39	15.051	14.195	13.915	13.877	 	 	 	 	8
Cl* NGC  188    FTS     146	*inCl	00 47 03.463	+85 13 36.97	10	10	0	-5.79	-0.74	15.76	15.14	14.774	13.968	13.605	13.599	 	 	 	 	8
Cl* NGC  188    FTS     313	*inCl	00 48 02.625	+85 13 14.04	10	10	125	-5.62	-0.52	17.18	16.39	15.933	15.077	14.672	14.659	 	 	 	 	8
Cl* NGC  188    FTS     250	*inCl	00 46 43.406	+85 12 06.03	10	10	0	-5.62	-0.43	16.75	15.97	15.507	14.458	14.053	14.032	 	 	 	 	8
Cl* NGC  188    FTS      38	*inCl	00 49 59.967	+85 19 25.43	10	10	0	-4.63	3.04	14.878	14.133	13.673	12.746	12.365	12.235	 	 	 	 	8
Cl* NGC  188    FTS      13	*inCl	00 49 56.126	+85 19 11.56	10	10	0	-1.45	3.3	13.561	13.061	12.715	12.041	11.789	11.725	 	 	 	 	8
Cl* NGC  188    FTS       9	*inCl	00 49 20.241	+85 18 38.88	10	10	104	-17.18	-25.59	13.275	12.516	12.06	11.149	10.821	10.757	 	 	 	 	8
Cl* NGC  188    FTS      83	*inCl	00 50 48.698	+85 18 15.34	10	10	105	0.9	-2.3	15.503	14.852	14.445	13.59	13.24	13.295	 	 	 	 	8
Cl* NGC  188    FTS     570	*inCl	00 50 43.961	+85 17 42.82	10	10	117	6.95	1.59	13.106	12.118	11.552	10.271	9.78	9.701	 	 	 	 	8
Cl* NGC  188    FTS      17	*inCl	00 50 56.385	+85 17 34.63	10	10	0	9.84	-14.56	14.143	13.479	13.058	12.124	11.877	11.755	 	 	 	 	8
Cl* NGC  188    FTS     243	*inCl	00 50 46.237	+85 16 33.71	10	10	90	-5	-0.31	16.58	15.85	15.449	14.529	14.207	14.266	 	 	 	 	8
Cl* NGC  188    FTS     275	*inCl	00 50 18.199	+85 16 08.36	10	10	0	-5.56	-0.2	16.85	16.12	15.696	14.856	14.559	14.392	 	 	 	 	8
Cl* NGC  188    FTS     261	*inCl	00 51 04.399	+85 15 06.10	10	10	0	-3.77	2.71	16.67	15.97	15.56	14.701	14.319	14.242	 	 	 	 	8
Cl* NGC  188    FTS     284	*inCl	00 49 25.206	+85 14 53.88	10	10	102	-5.82	-0.27	16.97	16.26	15.79	 	 	 	 	 	 	 	8
Cl* NGC  188    FTS      56	*inCl	00 49 56.565	+85 10 00.84	10	10	119	7.95	-2.72	15.116	14.514	14.118	13.287	13.062	12.96	 	 	 	 	8
Cl* NGC  188    FTS      12	*inCl	00 52 14.060	+85 17 11.78	10	10	0	20.62	26.55	14.025	13.061	12.476	11.347	10.844	10.759	 	 	 	 	8
Cl* NGC  188    FTS       8	*inCl	00 51 55.128	+85 16 19.13	10	10	102	4.58	50.77	13.448	12.557	12.02	10.92	10.452	10.382	 	 	 	 	8
Cl* NGC  188    FTS      91	*inCl	00 52 01.475	+85 15 35.49	10	10	0	-2.24	0.65	15.719	14.919	14.462	13.57	13.226	13.122	 	 	 	 	8
Cl* NGC  188    FTS     225	*inCl	00 51 21.372	+85 12 05.54	10	10	0	-4.76	-3.26	16.47	15.76	15.339	14.431	14.113	13.947	 	 	 	 	8
Cl* NGC  188    FTS      46	*inCl	00 51 52.269	+85 11 19.20	10	10	96	-5.39	-0.25	15.484	14.441	13.863	12.698	12.179	12.042	 	 	 	 	8
Cl* NGC  188    FTS     171	*inCl	00 51 11.694	+85 11 09.73	10	10	0	-4.94	-0.21	16.01	15.35	14.972	14.14	13.81	13.809	 	 	 	 	8
Cl* NGC  188    FTS      55	*inCl	00 51 11.415	+85 14 20.28	10	10	95	-5.38	-2.89	15.275	14.549	14.115	13.195	12.899	12.762	 	 	 	 	8
Cl* NGC  188    FTS      27	*inCl	00 46 29.900	+85 11 51.97	10	10	0	-4.97	-0.02	15.142	14.052	 	12.185	11.695	11.518	 	 	 	 	8
Cl* NGC  188    FTS      44	*inCl	00 50 40.305	+85 13 26.18	10	10	105	27.08	11.79	14.881	14.268	13.858	13.002	12.736	12.676	 	 	 	 	8
Cl* NGC  188    FTS      85	*inCl	00 52 43.525	+85 11 07.23	10	10	48	-4.85	-0.25	15.646	14.918	14.477	13.611	13.278	13.256	 	 	 	 	7
Cl* NGC  188    DGV     437	*inCl	00 54 11.362	+85 15 23.13	10	10	0	-6.42	-0.1	13.627	12.413	11.777	10.388	9.798	9.696	 	 	 	 	7
Cl* NGC  188    FTS     134	*inCl	00 52 15.580	+85 14 44.59	10	10	0	-0.91	-1.31	15.857	15.218	14.846	13.89	13.545	13.517	 	 	 	 	7
