05 26 41  +36 00 49 
05 27 11  +06 16 00 
05 27 24  +07 04 00 
05 27 47  -01 58 48 
05 27 49  +33 47 36 
05 28 01  +40 22 18 
05 28 05  +35 19 30 
05 28 07  +34 25 24 
05 28 21  +34 46 30 
05 28 40  +35 50 54 
05 28 44  +01 37 48 
05 28 59  +03 39 00 
05 30 18  +38 13 51 
05 31 25  +34 14 42 
05 32 37  +00 11 18 
05 33 42  +26 29 00 
05 35 06  +09 56 00 
05 35 09  -04 25 54 
05 35 16  -04 49 12 
05 35 16  -05 23 24 
05 35 24  -05 54 54 
05 35 30  -01 06 00 
05 35 54  +25 57 00 
05 36 18  +34 08 24 
05 36 51  +31 12 39 
05 38 10  +25 49 00 
05 38 42  -02 36 00 
05 39 00  +37 56 00 
05 39 17  -17 50 48 
05 39 29  +33 20 46 
05 39 30  +33 21 00 
05 40 55  +32 16 40 
05 41 22  +39 14 24 
05 42 46  +30 57 33 
05 43 12  +20 08 00 
05 43 52  +21 42 37 
05 44 01  +55 47 36 
05 44 06  -33 56 06 
05 44 22  +28 49 13 
05 47 29  +35 25 56 
05 48 30  +30 13 00 
05 48 40  +07 21 30 
05 49 24  +33 38 00 
05 50 04  +28 53 41 
05 50 18  +22 12 00 
05 51 42  +21 47 00 
05 52 05  +27 23 30 
05 52 15  +29 55 09 
05 52 18  +32 33 12 
05 53 45  +00 24 36 
05 53 52  +26 49 47 
05 55 09  -59 54 37 
05 55 25  +20 53 11 
05 58 12  +21 58 00 
05 58 27  +07 45 24 
06 00 56  +35 16 36 
06 01 07  +23 19 20 
06 02 29  +49 55 04 
06 02 55  +10 26 48 
06 03 07  +05 43 42 
06 04 10  +31 29 44 
06 04 26  +14 33 20 
06 04 50  +24 03 21 
06 04 51  +24 09 30 
06 04 50  -29 10 59 
06 04 58  -26 44 00 
06 05 58  +13 40 06 
06 07 25  +24 05 48 
06 08 24  +13 57 54 
06 08 48  +24 19 54 
06 08 54  +24 20 00 
06 08 56  +26 15 49 
06 09 11  +04 35 35 
06 09 21  +31 13 54 
06 09 28  +24 55 42 
06 09 36  -22 09 06 
06 09 39  +20 29 12 
06 09 48  +04 48 26 
06 10 02  +24 33 38 
06 10 36  +16 58 16 
06 10 54  +20 36 26 
06 11 00  -03 29 00 
06 11 04  +51 40 36 
06 12 07  +05 27 30 
06 13 06  +06 59 00 
06 13 45  +12 48 24 
06 14 15  +22 29 52 
06 14 33  +00 38 30 
06 14 35  -29 22 30 
06 14 47  +12 52 15 
06 15 17  +39 51 18 
06 15 26  +03 50 42 
06 15 33  -18 39 54 
06 15 53  +14 16 00 
06 16 50  +05 59 48 
06 18 00  +23 38 00 
06 18 02  +24 42 38 
06 19 22  +18 32 30 
06 20 20  +46 40 12 
06 20 35  -44 40 42 
06 20 49  -07 17 00 
06 21 42  +02 22 00 
06 22 00  -06 21 00 
06 22 54  +05 07 00 
06 23 21  +04 35 57 
06 23 44  -04 40 36 
06 25 24  +13 51 59 
06 25 25  +19 46 00 
06 25 40  +13 36 25 
06 25 53  +15 50 15 
06 26 36  -09 38 18 
06 27 15  -04 45 30 
06 27 32  +12 39 20 
06 28 44  -07 01 12 
06 29 24  +09 10 55 
06 29 29  +16 43 08 
06 29 34  -31 17 00 
06 29 39  +06 49 48 
06 30 18  +02 52 00 
06 30 48  -04 13 00 
06 30 48  -09 40 00 
06 30 51  +09 56 37 
06 31 18  +05 55 00 
06 31 28  +06 48 12 
06 31 55  +04 56 30 
06 32 41  +12 31 55 
06 33 10  +35 15 00 
06 33 30  +20 33 00 
06 33 47  -05 05 18 
06 34 12  +08 05 00 
06 34 38  +08 22 00 
06 34 42  +05 22 00 
06 35 49  +07 40 24 
06 36 18  -30 51 30 
06 36 24  -14 11 00 
06 36 30  +04 49 00 
06 36 36  +08 21 00 
06 36 42  +09 26 00 
06 37 00  +03 04 00 
06 37 06  +05 57 00 
06 37 42  +04 44 00 
06 37 47  -00 52 19 
06 38 03  -01 28 24 
06 38 21  +10 53 00 
06 38 24  +02 01 00 
06 38 42  +06 54 00 
06 39 38  +01 08 36 
06 40 00  -27 19 00 
06 40 58  +09 53 42 
06 41 00  -16 31 00 
06 41 01  -29 33 00 
06 41 41  +11 54 18 
06 42 01  -12 58 27 
06 42 07  -29 27 15 
06 42 55  +00 02 46 
06 43 04  +01 40 19 
06 43 17  +04 37 30 
06 43 19  +26 58 12 
06 43 35  +02 10 24 
06 43 55  +01 24 09 
06 43 57  +03 28 42 
06 44 41  +01 41 05 
06 45 06  +00 18 00 
06 45 32  +24 36 00 
06 46 01  -20 45 24 
06 46 30  +01 46 00 
06 46 54  +01 20 00 
06 47 04  -00 00 25 
06 47 40  -03 08 54 
06 48 17  +41 04 42 
06 48 54  +00 23 00 
06 48 54  -10 32 00 
06 49 01  -23 59 48 
06 50 18  +05 45 00 
06 50 24  +07 15 00 
06 50 39  -42 23 24 
06 51 18  +05 46 00 
06 51 45  +00 27 36 
06 51 55  -07 05 00 
06 52 12  +02 56 00 
06 52 19  +02 11 27 
06 52 30  -23 40 00 
06 53 18  +16 55 00 
06 53 53  -04 23 24 
06 54 03  -13 34 03 
06 54 04  -00 10 12 
06 54 18  -01 39 00 
06 54 29  -07 12 12 
06 55 11  +17 59 18 
06 55 14  -18 36 00 
06 56 00  -13 17 00 
06 56 03  -07 10 30 
06 56 20  -24 43 46 
06 57 00  -06 12 36 
06 57 36  +08 16 00 
06 57 42  +03 13 00 
06 57 42  -13 13 00 
06 57 47  -04 36 42 
06 58 06  +06 26 00 
06 58 47  +10 17 42 
06 59 27  -13 41 54 
06 59 43  -04 04 00 
07 00 21  -05 49 36
07 00 24  -00 15 00 
07 00 27  -03 00 36 
07 00 29  -20 34 00 
07 00 32  +03 02 30 
07 00 32  -08 52 00 
07 00 54  +03 30 00 
07 01 27  -03 07 03
07 01 42  -13 35 00 
07 01 59  -26 30 12 
07 02 07  -21 55 00 
07 02 30  -01 07 51 
07 02 42  -08 23 00 
07 03 03  -67 24 42 
07 03 05  -20 49 00 
07 03 11  -25 03 00 
07 03 12  +06 25 00 
07 03 24  -05 03 00 
07 03 54  -11 32 00 
07 04 00  -06 08 00 
07 04 07  +01 02 42 
07 04 16  -19 45 00 
07 05 55  -28 25 00 
07 06 12  -14 59 00 
07 06 14  -30 10 00 
07 06 28  -20 06 32 
07 06 40  -11 44 00 
07 06 49  -10 01 42 
07 06 52  -10 32 18 
07 06 56  -10 42 54 
07 06 59  +27 15 42 
07 07 10  -28 12 00 
07 07 21  -20 48 00 
07 07 47  -05 43 12 
07 08 03  -25 52 00 
07 08 06  -10 37 00 
07 08 18  -13 11 36 
07 09 24  -16 57 00 
07 09 56  +02 44 01 
07 10 12  +75 12 12 
07 10 31  -08 25 39 
07 10 30  +06 04 12 
07 10 47  -09 20 12 
07 10 48  -08 35 36 
07 12 40  +02 07 12 
07 13 05  -24 02 18 
07 13 31  -10 29 12 
07 14 10  -25 41 24 
07 14 30  -10 16 00 
07 14 31  -21 07 12 
07 14 55  -31 22 00 
07 15 20  -30 41 00 
07 16 06  -13 06 00 
07 16 29  -46 41 06 
07 16 56  -17 07 00 
07 16 59  +13 45 00 
07 17 05  -35 16 48 
07 17 06  -13 58 00 
07 17 17  -36 49 00 
07 17 43  -15 38 30 
07 18 02  -22 40 00 
07 18 04  -24 28 48 
07 18 05  -18 35 42 
07 18 28  -17 34 30 
07 18 41  -24 57 18 
07 19 07  -22 01 40 
07 19 33  -19 38 00 
07 20 06  -13 08 00 
07 20 06  -21 52 54 
07 20 24  -01 06 00 
07 20 46  -07 33 00 
07 20 56  +01 48 29 
07 20 57  -22 52 00 
07 21 06  -10 22 18 
07 21 28  -03 14 00 
07 21 47  -00 59 06 
07 22 02  -08 58 46
07 22 55  -29 30 00 
07 23 10  -19 28 00 
07 23 24  -12 20 00 
07 23 36  -23 11 00 
07 23 38  +05 22 15 
07 23 56  -13 15 48 
07 24 14  -24 38 00 
07 24 27  -31 51 00 
07 24 39  -26 13 00 
07 24 40  -20 56 54 
07 24 42  -17 00 10 
07 25 10  -21 01 18 
07 25 51  -21 35 00 
07 26 08  -15 05 36 
07 26 23  -47 40 00 
